Symptoms,Medications
"cough, weight loss, fatigue","albuterol, insulin"
weight loss,salmeterol
"weight loss, rash, chest pain","acetaminophen, simvastatin"
"muscle pain, loss of appetite, shortness of breath, body aches",metformin
anxiety,"fluticasone, simvastatin"
"vomiting, shortness of breath",omeprazole
cough,"acetaminophen, venlafaxine"
"nausea, anxiety, cough, joint pain",atorvastatin
shortness of breath,sertraline
loss of appetite,amoxicillin
"sore throat, allergic reaction, weight loss",diphenhydramine
"vomiting, back pain, headache",sertraline
muscle pain,"salmeterol, metformin"
"insomnia, sore throat, weight loss, swelling","cetirizine, venlafaxine"
"weight gain, chest pain, sore throat, headache",diphenhydramine
weight gain,albuterol
"itching, diarrhea","aspirin, azithromycin"
weight loss,sertraline
"fatigue, weight loss","metformin, fluticasone"
"insomnia, back pain, body aches",lisinopril
"swelling, insomnia, fever, sore throat",amoxicillin
shortness of breath,diphenhydramine
"rash, muscle pain","azithromycin, fluoxetine"
"sore throat, muscle pain, nausea, rash","escitalopram, fluticasone"
"weight loss, itching, fever",acetaminophen
"diarrhea, back pain","diphenhydramine, insulin"
nausea,insulin
"sore throat, itching, weight gain","cetirizine, escitalopram"
"fatigue, allergic reaction, muscle pain, diarrhea",azithromycin
diarrhea,azithromycin
"back pain, joint pain, chest pain",salmeterol
joint pain,sertraline
"sore throat, body aches, chest pain","amoxicillin, ranitidine"
"cough, swelling","ranitidine, sertraline"
"muscle pain, insomnia, weight gain, weight loss","albuterol, diphenhydramine"
"abdominal pain, weight loss",venlafaxine
chest pain,acetaminophen
"weight gain, runny nose, abdominal pain","atorvastatin, azithromycin"
"body aches, sore throat, muscle pain","venlafaxine, loratadine"
"rash, weight loss","ranitidine, fluticasone"
"vomiting, muscle pain","fluticasone, diphenhydramine"
"nausea, sore throat",azithromycin
"runny nose, cough, abdominal pain, insomnia","loratadine, azithromycin"
"vomiting, back pain, weight loss","salmeterol, fluticasone"
"cough, diarrhea, fever",diphenhydramine
"swelling, cough","venlafaxine, fluticasone"
cough,"escitalopram, loratadine"
joint pain,"salmeterol, albuterol"
"swelling, loss of appetite","escitalopram, insulin"
fatigue,salmeterol
"insomnia, depression, muscle pain",venlafaxine
"abdominal pain, joint pain","atorvastatin, metformin"
abdominal pain,fluticasone
allergic reaction,cetirizine
"weight loss, anxiety, loss of appetite, body aches",cetirizine
"back pain, headache","fluoxetine, loratadine"
"vomiting, chest pain, abdominal pain","lisinopril, loratadine"
itching,"salmeterol, simvastatin"
joint pain,ibuprofen
"insomnia, runny nose, headache","insulin, ibuprofen"
"fatigue, insomnia","loratadine, amoxicillin"
"vomiting, rash, sore throat, diarrhea","salmeterol, sertraline"
"chest pain, rash, anxiety",atorvastatin
"muscle pain, fatigue, back pain, itching","simvastatin, metformin"
"insomnia, loss of appetite, chest pain","salmeterol, aspirin"
"fever, abdominal pain, runny nose, headache",amoxicillin
